G,Date,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
17,2023-01-10,Colorado State,W (1 OT),85,74,31,61,.508,7,19,.368,16,19,.842,9,34,17,6,2,9,22,25,57,.439,3,12,.250,21,25,.840,5,22,19,6,4,8,18
18,2023-01-14,Fresno State,W,51,48,17,54,.315,9,25,.360,8,9,.889,9,30,15,4,3,10,11,20,53,.377,2,15,.133,6,7,.857,10,33,4,6,6,11,9
19,2023-01-17,Wyoming,W,82,74,28,53,.528,10,25,.400,16,19,.842,3,21,15,7,3,7,11,28,51,.549,6,16,.375,12,17,.706,4,26,11,2,3,11,16
20,2023-01-21,San Diego State,L,60,70,24,52,.462,8,26,.308,4,10,.400,2,20,14,6,4,6,19,22,57,.386,4,15,.267,22,23,.957,15,45,6,1,4,8,17
21,2023-01-24,San Jose State,L,52,82,19,49,.388,4,22,.182,10,11,.909,5,18,9,2,7,6,12,34,59,.576,5,14,.357,9,14,.643,8,31,13,3,1,5,9
22,2023-01-27,New Mexico,L,73,81,26,55,.473,9,26,.346,12,15,.800,4,25,18,3,3,12,21,28,53,.528,5,17,.294,20,26,.769,6,30,11,9,5,10,15
23,2023-01-31,Boise State,L,52,59,20,51,.392,4,24,.167,8,10,.800,6,27,9,3,5,11,12,22,51,.431,7,22,.318,8,9,.889,4,28,6,6,5,10,15
24,2023-02-03,Nevada,L,52,72,19,45,.422,9,24,.375,5,12,.417,3,19,13,4,4,9,26,22,46,.478,4,13,.308,24,32,.750,6,33,16,3,2,7,16
25,2023-02-07,Colorado State,L,53,69,20,48,.417,9,22,.409,4,7,.571,7,22,13,3,1,10,13,29,52,.558,5,11,.455,6,8,.750,7,30,10,5,2,7,11
26,2023-02-10,New Mexico,W,89,77,35,53,.660,9,17,.529,10,16,.625,5,27,21,7,5,12,18,28,55,.509,7,15,.467,14,22,.636,8,23,9,7,4,12,19
27,2023-02-14,Utah State,L,65,80,24,55,.436,7,22,.318,10,12,.833,3,26,14,6,4,8,15,29,60,.483,9,22,.409,13,15,.867,7,37,15,5,1,8,12
28,2023-02-17,Wyoming,W,75,69,23,42,.548,8,17,.471,21,29,.724,2,26,15,7,1,12,18,22,52,.423,6,26,.231,19,26,.731,5,25,9,5,5,10,25
29,2023-02-21,Fresno State,L,69,74,24,41,.585,10,21,.476,11,13,.846,4,23,20,1,4,20,17,28,53,.528,2,13,.154,16,17,.941,5,20,15,12,2,6,12
30,2023-02-24,UNLV,L,53,54,20,51,.392,7,22,.318,6,8,.750,4,27,15,11,5,14,17,22,53,.415,3,20,.150,7,10,.700,7,32,9,8,5,16,14
31,2023-03-04,San Jose State,L,61,63,23,58,.397,6,22,.273,9,14,.643,10,34,13,6,0,8,15,25,53,.472,7,24,.292,6,13,.462,9,34,6,4,7,12,17
32,2023-03-08,UNLV,L (1 OT),70,78,22,57,.386,8,23,.348,18,20,.900,7,33,14,2,2,16,20,25,59,.424,9,24,.375,19,26,.731,11,35,14,11,5,13,21
1,2022-11-07,South Dakota State,W (1 OT),81,80,30,69,.435,11,31,.355,10,12,.833,8,31,16,5,5,9,17,31,59,.525,4,15,.267,14,17,.824,5,33,11,3,4,12,15
